,player_id,player_display_name,rolling_def,last_twelve_completions,last_twelve_attempts,last_twelve_passing_yards,last_twelve_passing_tds,last_twelve_interceptions,last_twelve_sack_fumbles_lost,last_twelve_passing_first_downs,last_twelve_carries,last_twelve_rushing_yards,last_twelve_rushing_tds,last_twelve_rushing_fumbles_lost,last_twelve_rushing_first_downs,last_twelve_fantasy_points_ppr,last_twelve_comp_percentage,predicted,season,week
32,00-0036264,Jordan Love,12.582777698834738,22.58333333333333,34.583333333333336,245.16666666666663,1.8333333333333333,0.6666666666666666,0.0833333333333333,12.75,2.583333333333333,14.666666666666666,0.1666666666666666,0.0833333333333333,0.9166666666666666,17.93999993801117,0.6555270603780635,16.792694870533893,2024,1
33,00-0036355,Justin Herbert,13.536666830380758,22.83333333333333,35.25,242.08333333333331,1.5833333333333333,0.5833333333333334,0.0833333333333333,11.666666666666666,3.9166666666666665,17.583333333333332,0.1666666666666666,0.0,1.0,17.775000005960464,0.6301910231782557,16.81297386285186,2024,1
34,00-0036389,Jalen Hurts,15.289999922116598,21.416666666666668,32.666666666666664,237.0,1.5,0.9166666666666666,0.0833333333333333,12.166666666666666,9.583333333333334,38.91666666666666,1.0,0.25,4.166666666666667,22.87166666984558,0.6623640628623282,20.601707755682575,2024,1
35,00-0036442,Joe Burrow,9.942499915758768,25.916666666666668,38.0,240.33333333333331,1.8333333333333333,0.75,0.0833333333333333,12.25,3.1666666666666665,8.416666666666666,0.0,0.0,1.0,16.288333157698315,0.6782411767613395,16.201972997107028,2024,1
36,00-0036898,Davis Mills,12.901666531960169,11.583333333333334,20.33333333333333,124.25,0.6666666666666666,0.5833333333333334,0.0833333333333333,6.0,2.0,8.416666666666666,0.1666666666666666,0.0833333333333333,0.6666666666666666,8.14500013863047,0.6226417163917164,10.932892723165867,2024,1
37,00-0036945,Justin Fields,13.476666629314424,18.0,29.5,201.16666666666663,1.3333333333333333,0.75,0.25,9.416666666666666,9.666666666666666,52.5,0.3333333333333333,0.0833333333333333,3.25,18.46333312988281,0.6061924334038277,18.29580212187135,2024,1
38,00-0036971,Trevor Lawrence,18.139721910158794,22.33333333333333,34.0,250.0,1.3333333333333333,0.8333333333333334,0.4166666666666667,10.916666666666666,4.333333333333333,22.5,0.3333333333333333,0.0833333333333333,1.5833333333333333,17.083333214124043,0.6646964309094474,16.50587473209626,2024,1
39,00-0036972,Mac Jones,11.894166597475609,20.33333333333333,31.5,193.66666666666663,1.0,1.0,0.0833333333333333,9.083333333333334,2.4166666666666665,8.083333333333334,0.0,0.0833333333333333,1.0,10.221666624148687,0.6424241733149779,12.635583285894855,2024,1
40,00-0037013,Zach Wilson,12.775000115235647,18.416666666666668,30.666666666666668,189.25,0.6666666666666666,0.5833333333333334,0.3333333333333333,8.666666666666666,3.0,17.583333333333332,0.0,0.25,0.5833333333333334,9.995000009735426,0.579277072134215,12.479379720692153,2024,1
41,00-0037077,Sam Howell,11.431666801373163,22.916666666666668,37.083333333333336,236.0,1.3333333333333333,1.1666666666666667,0.0,10.833333333333334,2.75,15.166666666666666,0.3333333333333333,0.0833333333333333,1.1666666666666667,16.123333315054577,0.5884557861859653,15.460256075104708,2024,1
42,00-0037834,Brock Purdy,19.61500024795532,18.916666666666668,27.666666666666668,271.75,2.1666666666666665,0.9166666666666666,0.0833333333333333,11.5,2.25,10.0,0.0,0.0,0.8333333333333334,18.53666651248932,0.6857371767519617,17.020968767654352,2024,1
43,00-0038102,Kenny Pickett,15.197499791781109,16.75,27.0,172.5,0.5,0.3333333333333333,0.0,7.583333333333333,3.5,4.5,0.0833333333333333,0.0,1.0,9.183333277702332,0.6225026272037141,12.080521667833011,2024,1
44,00-0038122,Desmond Ridder,12.304166714350382,16.083333333333332,25.666666666666668,182.75,0.6666666666666666,0.8333333333333334,0.3333333333333333,9.333333333333334,3.333333333333333,12.916666666666666,0.3333333333333333,0.0,1.25,11.268333206574122,0.6395718032655865,13.180357257179658,2024,1
45,00-0039150,Bryce Young,16.120833456516266,19.75,33.833333333333336,190.0,0.75,0.6666666666666666,0.25,8.583333333333334,2.5,14.0,0.0,0.0,1.1666666666666667,10.333333472410835,0.5877252613421523,12.5596970240952,2024,1
46,00-0039163,C.J. Stroud,12.971666932106018,20.08333333333333,31.83333333333333,268.1666666666667,1.5833333333333333,0.4166666666666667,0.0833333333333333,12.25,2.4166666666666665,9.666666666666666,0.25,0.0833333333333333,1.1666666666666667,18.52666670084,0.621077764737185,16.715586281572065,2024,1
