,player_id,player_display_name,rolling_def,last_twelve_carries,last_twelve_rushing_yards,last_twelve_rushing_tds,last_twelve_rushing_fumbles_lost,last_twelve_rushing_first_downs,last_twelve_receptions,last_twelve_targets,last_twelve_receiving_yards,last_twelve_receiving_tds,last_twelve_receiving_fumbles_lost,last_twelve_receiving_yards_after_catch,last_twelve_receiving_first_downs,last_twelve_target_share,last_twelve_fantasy_points_ppr,last_twelve_usage,predicted,season,week
20,00-0034798,Durham Smythe,8.694444422920546,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,3.333333333333333,28.0,0.0,0.0,10.833333333333334,1.6666666666666667,0.0985370936493078,5.4666666984558105,3.333333333333333,6.630096750310987,2024,1
21,00-0034829,Mike Gesicki,6.166666636864345,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.75,14.166666666666666,0.1666666666666666,0.0,4.666666666666667,0.6666666666666666,0.0948477204268177,4.083333333333333,2.75,5.1930839962430175,2024,1
22,00-0034830,Hayden Hurst,7.937499950329463,0.0,0.0,0.0,0.0,0.0,2.333333333333333,3.9166666666666665,23.416666666666668,0.0833333333333333,0.0,9.5,0.9166666666666666,0.1134617955734332,5.175000031789144,3.9166666666666665,6.702340424870579,2024,1
23,00-0034970,Irv Smith,6.064583390951157,0.0,0.0,0.0,0.0,0.0,2.5,3.25,16.0,0.1666666666666666,0.0833333333333333,8.75,0.6666666666666666,0.0961857504832248,4.933333327372869,3.25,5.724637947085819,2024,1
24,00-0034981,Foster Moreau,11.23055543502172,0.0,0.0,0.0,0.0,0.0,2.083333333333333,2.5,22.0,0.0833333333333333,0.0,12.0,1.0833333333333333,0.0753424634846548,4.783333381017049,2.5,4.817623862272524,2024,1
25,00-0035229,T.J. Hockenson,5.40833334128062,0.0,0.0,0.0,0.0,0.0,6.0,8.25,65.08333333333333,0.25,0.0,22.33333333333333,3.1666666666666665,0.2482890418420235,14.008333325386047,8.25,13.693034132692432,2024,1
26,00-0035329,Donald Parham,7.861111005147298,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,2.9166666666666665,16.833333333333332,0.3333333333333333,0.0,7.166666666666667,1.4166666666666667,0.0826697045316298,5.516666620969772,2.9166666666666665,5.235792869186205,2024,1
27,00-0035644,Noah Fant,6.968055675427119,0.0,0.0,0.0,0.0,0.0,2.0,2.833333333333333,26.416666666666668,0.0,0.0,12.5,1.0,0.0866206615852813,4.64166663090388,2.833333333333333,5.330219214967474,2024,1
28,00-0035689,Dawson Knox,6.284722208976746,0.0,0.0,0.0,0.0,0.0,2.75,4.416666666666667,28.416666666666668,0.3333333333333333,0.0,12.666666666666666,1.5,0.1395038596043984,7.758333265781403,4.416666666666667,7.627352302600026,2024,1
29,00-0036040,Juwan Johnson,11.23055543502172,0.0,0.0,0.0,0.0,0.0,2.833333333333333,4.666666666666667,27.33333333333333,0.3333333333333333,0.0,10.0,1.6666666666666667,0.1404986586421728,7.566666662693024,4.666666666666667,7.844027014571993,2024,1
