,player_id,player_display_name,rolling_def,last_twelve_carries,last_twelve_rushing_yards,last_twelve_rushing_tds,last_twelve_rushing_fumbles_lost,last_twelve_rushing_first_downs,last_twelve_receptions,last_twelve_targets,last_twelve_receiving_yards,last_twelve_receiving_tds,last_twelve_receiving_fumbles_lost,last_twelve_receiving_yards_after_catch,last_twelve_receiving_first_downs,last_twelve_target_share,last_twelve_fantasy_points_ppr,last_twelve_usage,predicted,season,week
11,00-0031588,Stefon Diggs,7.495138764381409,0.0833333333333333,0.4166666666666667,0.0,0.0,0.0833333333333333,5.75,9.416666666666666,58.083333333333336,0.3333333333333333,0.0833333333333333,20.666666666666668,3.0,0.3094074601928393,13.599999984105429,9.5,13.630307482245328,2024,1
12,00-0031868,Damiere Byrd,9.39127775033315,0.0,0.0,0.0,0.0,0.0,1.0,2.0,22.33333333333333,0.1666666666666666,0.0,8.75,0.75,0.0809024622042973,4.233333349227905,2.0,5.444010621554011,2024,1
13,00-0031941,Jamison Crowder,5.70847221215566,0.0,0.0,0.0,0.0,0.0,2.4166666666666665,3.8333333333333335,22.5,0.0833333333333333,0.0,9.166666666666666,1.1666666666666667,0.1068494262484212,5.166666696468989,3.8333333333333335,6.035006375471891,2024,1
14,00-0032128,Chris Conley,8.305416683355967,0.0833333333333333,0.25,0.0,0.0,0.0833333333333333,1.5833333333333333,2.6666666666666665,19.58333333333333,0.0833333333333333,0.0,7.333333333333333,1.0,0.0940624872843424,4.066666692495346,2.75,5.641090448805763,2024,1
15,00-0032211,Tyler Lockett,7.740833441416423,0.0,0.0,0.0,0.0,0.0,5.0,7.583333333333333,55.5,0.1666666666666666,0.0,12.5,3.0,0.228702990959088,11.550000071525574,7.583333333333333,12.425169903090712,2024,1
16,00-0032398,Chris Moore,9.822638789812723,0.1666666666666666,3.25,0.0,0.0,0.0833333333333333,1.5,2.4166666666666665,28.75,0.0,0.0,4.5,1.0833333333333333,0.0888251182623207,4.699999968210856,2.583333333333333,5.752412893555503,2024,1
17,00-0032464,Kalif Raymond,8.260972181955973,0.4166666666666667,2.0,0.0,0.0,0.0,2.083333333333333,2.583333333333333,26.666666666666668,0.0,0.0,14.166666666666666,1.1666666666666667,0.0800656324083154,4.949999978144963,3.0,6.069515042802789,2024,1
18,00-0032775,Demarcus Robinson,9.257499972979229,0.0833333333333333,1.9166666666666667,0.0,0.0,0.0833333333333333,3.25,4.583333333333333,38.91666666666666,0.4166666666666667,0.1666666666666666,8.916666666666666,2.083333333333333,0.1607568624118963,9.500000049670538,4.666666666666667,8.733935221545273,2024,1
19,00-0033009,Tyler Boyd,6.9901389280955,0.1666666666666666,0.9166666666666666,0.0,0.0,0.0833333333333333,4.083333333333333,5.75,44.66666666666666,0.1666666666666666,0.0,19.33333333333333,1.8333333333333333,0.1622362124423186,9.475000023841858,5.916666666666667,9.391574069919102,2024,1
20,00-0033040,Tyreek Hill,7.178055504957835,0.5,1.25,0.0,0.0,0.1666666666666666,7.25,10.25,108.75,0.6666666666666666,0.0833333333333333,43.583333333333336,4.833333333333333,0.313076663762331,22.083333094914757,10.75,19.034910974607115,2024,1
21,00-0033251,Zach Pascal,8.612499932448069,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.5,0.0,0.0,1.1666666666666667,0.1666666666666666,0.0440851706080138,0.75,1.5,5.326458540861401,2024,1
22,00-0033282,Curtis Samuel,8.45416663090388,0.3333333333333333,0.4166666666666667,0.0833333333333333,0.0,0.1666666666666666,4.166666666666667,6.25,39.25,0.3333333333333333,0.0,17.333333333333332,1.75,0.1782182998334368,10.633333404858908,6.583333333333333,10.180649425027633,2024,1
23,00-0033307,Kendrick Bourne,8.478333353996277,0.25,2.9166666666666665,0.0,0.0,0.1666666666666666,4.083333333333333,6.0,47.41666666666666,0.4166666666666667,0.0833333333333333,21.0,1.9166666666666667,0.1780511199807127,11.44999986886978,6.25,10.40459938315511,2024,1
24,00-0033375,Tim Patrick,7.878611067930858,0.0,0.0,0.0,0.0,0.0,2.9166666666666665,5.166666666666667,38.75,0.25,0.0,10.75,2.0,0.1677292343229055,8.291666557391485,5.166666666666667,8.364422846374676,2024,1
